endx,endy,startx,starty,pox,poy
0,0,0,0,-377563.7255,51625.3707
0,0,0,0,-437638.9567,92113.1555
0,0,0,0,-437638.9567,109613.1555
0,0,0,0,-668870.0573,186600.6192
0,0,0,0,-735007.7321,94977.9942
0,0,0,0,-765075.8575,48114.8797
0,0,0,0,-735007.7321,48114.8797
0,0,0,0,-735007.7321,35847.8334
0,0,0,0,-735007.7321,81100
0,0,0,0,-528324.2558,87497.7983
0,0,0,0,-528324.2558,62687.828
0,0,0,0,-528324.2558,51625.3707
0,0,0,0,-491980.3445,51625.3707
0,0,0,0,-454063.7255,51625.3707
0,0,0,0,-440563.7255,51625.3707
0,0,0,0,-680324.2558,51625.3707
-841278.0406,115266.0486,-839820.801,115266.0486,0,0
-841278.0406,75266.0486,-841278.0406,115266.0486,0,0
-841278.0406,48114.8797,-841278.0406,75266.0486,0,0
-765075.8575,48114.8797,-765075.8575,54114.8797,0,0
-765075.8575,48114.8797,-841278.0406,48114.8797,0,0
-764856.4591,109977.9942,-763356.4591,109977.9942,0,0
-763356.4591,94977.9942,-750856.4591,94977.9942,0,0
-763356.4591,109977.9942,-763356.4591,94977.9942,0,0
-760870.0573,198100.6192,-760870.0573,230600.6192,0,0
-755507.7321,81100,-735007.7321,81100,0,0
-750856.4591,94977.9942,-750856.4591,93477.9942,0,0
-735007.7321,81100,-735007.7321,94977.9942,0,0
-735007.7321,107977.9942,-735007.7321,94977.9942,0,0
-735007.7321,94977.9942,-750856.4591,94977.9942,0,0
-735007.7321,48114.8797,-765075.8575,48114.8797,0,0
-735007.7321,81100,-735007.7321,48114.8797,0,0
-735007.7321,35847.8334,-735007.7321,33847.8334,0,0
-735007.7321,35847.8334,-735007.7321,48114.8797,0,0
-711007.7321,51625.3707,-711007.7321,35847.8334,0,0
-711007.7321,35847.8334,-735007.7321,35847.8334,0,0
-710507.7321,107977.9942,-735007.7321,107977.9942,0,0
-710507.7321,109977.9942,-710507.7321,107977.9942,0,0
-710007.7321,109977.9942,-710507.7321,109977.9942,0,0
-693615.4795,119000.2188,-682989.4046,121102.7348,0,0
-682989.4046,121102.7348,-681690.9528,132088.535,0,0
-681690.9528,132088.535,-675021.2577,144770.8772,0,0
-680370.0573,186600.6192,-680370.0573,198100.6192,0,0
-680370.0573,198100.6192,-760870.0573,198100.6192,0,0
-680324.2558,51625.3707,-584324.2558,51625.3707,0,0
-680324.2558,53625.3707,-680324.2558,51625.3707,0,0
-680324.2558,51625.3707,-711007.7321,51625.3707,0,0
-675021.2577,144770.8772,-668870.0573,147600.6192,0,0
-668870.0573,147600.6192,-668870.0573,186600.6192,0,0
-668870.0573,186600.6192,-680370.0573,186600.6192,0,0
-648691.0813,197416.7415,-668870.0573,186600.6192,0,0
-584324.2558,51625.3707,-528324.2558,51625.3707,0,0
-573691.0813,197416.7415,-648691.0813,197416.7415,0,0
-569712.9518,198956.8549,-573691.0813,197416.7415,0,0
-556212.9518,198956.8549,-569712.9518,198956.8549,0,0
-554457.4822,198614.7191,-556212.9518,198956.8549,0,0
-554457.4822,198614.7191,-554457.4822,204184.1618,0,0
-534324.2558,103500,-534324.2558,119000,0,0
-534324.2558,119000,-531324.2558,119000,0,0
-528324.2558,51625.3707,-528324.2558,103500,0,0
-528324.2558,62687.828,-526099.1522,62687.828,0,0
-528324.2558,87497.7983,-525981.1985,87497.7983,0,0
-528324.2558,103500,-534324.2558,103500,0,0
-491980.3445,72524.4287,-478480.3445,72524.4287,0,0
-491980.3445,51625.3707,-528324.2558,51625.3707,0,0
-491980.3445,51625.3707,-491980.3445,72524.4287,0,0
-470135.1458,165550,-470135.1458,165050,0,0
-464635.1458,165550,-470135.1458,165550,0,0
-464635.1458,144550,-464635.1458,165550,0,0
-458957.4822,198614.7191,-554457.4822,198614.7191,0,0
-454063.7255,51625.3707,-454063.7255,54125.3707,0,0
-454063.7255,51625.3707,-491980.3445,51625.3707,0,0
-453402.8714,191318.0184,-458957.4822,198614.7191,0,0
-446132.5681,180648.8821,-453402.8714,191318.0184,0,0
-440563.7255,92125.3707,-440563.7255,51625.3707,0,0
